subject_code,period
FADT2668,202620
ARQU0001,202620
AQTT2666,202620
ARQU0017,202620
ARQU0019,202620
AQTT3688,202620
ARQU0022,202620
AQTH1103,202620
AQTU2208,202620
AQTT4678,202620
MVET3139,202320
PSIZ9012,202620
PSIZ9017,202620
PSIZ9020,202620
ECOZ2810,202620
MKTZ3411,202620
MKTZ3243,202620
MGTZ2288,202620
EHTZ3479,202620
MKTZ2901,202620
MKTZ2406,202620
MKTZ2905,202620
MKTZ4425,202620
MKTZ3241,202620
ECOZ2160,202320
ECOZ3361,202320
GDEZ3905,202620
IUSZ1110,202620
PSIZ9004,202620
DMDZ2322,202620
DMDZ2324,202620
DMDZ2326,202620
DMDZ2321,202620
DMDZ2313,202620
DMDZ2334,202620
DMDZ2332,202620
DMDZ2331,202620
DMDZ3667,202620
IAGI2108,202620
IAGI2215,202620
IAGI3112,202620
IAGI2121,202620
IAGI3561,202620
IAGI2324,202620
IAGI3562,202620
IAGI3218,202620
IAGI3560,202620
IAGI2541,202620
IAGI3563,202620
IAGI2339,202620
ARQI0027,202620
DIPZ4913,202620
DINC3606,202620
ARQI0011,202620
ARQI0007,202620
ARQI0028,202620
ARQI0016,202620
ARQI0022,202620
ARQI0020,202620
DIPZ4924,202620
DINZ4111,202620
