,subject_code,period,seq,conector,lparen,test_code,test_score,prerequisite_subject_code,grade,score,rparen,prerequsite_type,origen
0,FADT2668,202620,0,,(,,0.0,,,,,malla,FADT2668
1,FADT2668,202620,1,,(,,0.0,FADT1160,,6.0,,malla,FADT2668
2,FADT2668,202620,2,O,,A161,6.0,,,,),malla,FADT2668
3,FADT2668,202620,3,Y,(,,0.0,FADR1116,,6.0,,malla,FADT2668
4,FADT2668,202620,4,O,,A162,6.0,,,,),malla,FADT2668
5,FADT2668,202620,5,,,,0.0,,,,),malla,FADT2668
6,FADT2668,202620,6,O,(,,0.0,,,,,malla,FADT2668
7,FADT2668,202620,7,,(,,0.0,FADT1170,,6.0,,malla,FADT2668
8,FADT2668,202620,8,O,,A161,6.0,,,,),malla,FADT2668
9,FADT2668,202620,9,Y,(,,0.0,ARQS0001,,6.0,,malla,FADT2668
10,FADT2668,202620,10,O,,A483,6.0,,,,),malla,FADT2668
11,FADT2668,202620,11,,,,0.0,,,,),malla,FADT2668
0,ARQU0001,202620,1,,,,0.0,ARQS0001,Pregrado,6.0,,malla,ARQU0001
1,ARQU0001,202620,2,O,,A483,6.0,,,,,malla,ARQU0001
0,AQTT2666,202620,1,,(,,0.0,AQTT2665,Pregrado,6.0,,malla,AQTT2666
1,AQTT2666,202620,2,Y,,,0.0,ARQU0013,Pregrado,6.0,,malla,AQTT2666
2,AQTT2666,202620,3,Y,,,0.0,ARQU0007,Pregrado,6.0,),malla,AQTT2666
3,AQTT2666,202620,4,O,(,,0.0,AQTT2665,Pregrado,6.0,,malla,AQTT2666
4,AQTT2666,202620,5,Y,,,0.0,AQTC3805,Pregrado,6.0,),malla,AQTT2666
5,AQTT2666,202620,6,Y,(,,0.0,INGZ0333,Pregrado,6.0,,malla,AQTT2666
6,AQTT2666,202620,7,O,,ENGC,4.0,,,,,malla,AQTT2666
7,AQTT2666,202620,8,O,,ENG,5.0,,,,),malla,AQTT2666
0,ARQU0017,202620,1,,(,,0.0,AQTH4106,Pregrado,6.0,,malla,ARQU0017
1,ARQU0017,202620,2,O,,A236,6.0,,,,),malla,ARQU0017
2,ARQU0017,202620,3,Y,,,0.0,AQTT2665,Pregrado,6.0,,malla,ARQU0017
0,ARQU0019,202620,1,,,,0.0,AQTU3210,Pregrado,6.0,,malla,ARQU0019
1,ARQU0019,202620,2,Y,(,,0.0,ARQU0009,Pregrado,6.0,,malla,ARQU0019
2,ARQU0019,202620,3,O,,,0.0,ARQU0010,Pregrado,6.0,,malla,ARQU0019
3,ARQU0019,202620,4,O,,,0.0,ARQU0011,Pregrado,6.0,),malla,ARQU0019
0,AQTT3688,202620,1,,(,,0.0,AQTT3678,Pregrado,6.0,,malla,AQTT3688
1,AQTT3688,202620,2,Y,,,0.0,AQTC4806,Pregrado,6.0,),malla,AQTT3688
2,AQTT3688,202620,3,O,(,,0.0,AQTT3678,Pregrado,6.0,,malla,AQTT3688
3,AQTT3688,202620,4,Y,,,0.0,ARQS0009,Pregrado,6.0,),malla,AQTT3688
4,AQTT3688,202620,8,O,(,,0.0,AQTT3678,Pregrado,6.0,,malla,AQTT3688
5,AQTT3688,202620,9,Y,,,0.0,ARQU0016,Pregrado,6.0,,malla,AQTT3688
